abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
244,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,26,449,49,1059860,0.7,45,200,73,88.1,1,65,65,45,10,15,6.9,1,0
244,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,26,449,63,1059860,1.0,60,201,321,88.1,2,80,80,60,10,15,13.0,1,0
244,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,26,449,123,1059860,2.0,80,199,745,88.1,3,122,120,80,10,15,100.0,1,0
22,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,26,299,43,1059860,0.6,39,288,95,88.1,4,60,50,65,7,1,8.5,1,0
22,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,26,187,58,1059860,1.1,58,417,96,88.1,5,80,65,80,7,1,19.0,1,0
22,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,26,187,78,1059860,1.7,78,416,93,88.1,6,159,115,100,7,9,90.5,1,0
453,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,26,531,65,1059860,0.5,44,794,656,88.1,7,50,64,43,18,1,9.0,1,0
453,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,26,546,80,1059860,1.0,59,334,764,88.1,8,65,80,58,18,1,22.5,1,0
453,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,26,457,120,1059860,1.6,79,336,56,88.1,9,135,115,78,18,1,85.5,1,0
348,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,21,585,35,1000000,0.3,45,80,88,50.0,10,20,20,45,1,1,2.9,1,0
341,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,2,104,55,1000000,0.7,50,716,432,50.0,11,25,25,30,1,1,9.9,1,0
51,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,26,76,50,1000000,1.1,60,76,77,50.0,12,90,80,70,1,9,32.0,1,0
348,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,21,225,30,1000000,0.3,40,51,767,50.0,13,20,20,50,1,15,3.2,1,0
341,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,2,104,50,1000000,0.6,45,99,333,50.0,14,25,25,35,1,15,10.0,1,0
410,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,26,380,40,1000000,1.0,65,680,45,50.0,15,15,80,145,1,15,29.5,1,0
193,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,21,525,40,1059860,0.3,40,602,510,50.0,16,35,35,56,13,9,1.8,1,0
